ID,Sentence1,Sentence2,Class
7319,"In March 1833 , Pekin was renamed Redford and the southern half was on 1 April Dearborn Township .","In March 1833 , Dearborn Township was renamed Redford and the southern half became Pekin on April 1st .",0
7320,"Rices Landing is home to Pumpkin Run Park , which is owned and maintained by the municipality .","Rices Landing is home to Pumpkin Run Park , which is owned and maintained by the borough .",1
7321,"Together with Ciarán McDonald , Peadár Gardiner and Stephen Rochford , Moyles came through the Crossmolina Deel Rovers system .","Ciarán McDonald came together with Moyles , Peadár Gardiner and Stephen Rochford through the Crossmolina Deel Rovers system .",0
7322,"Its villages include Dry Tavern , Jamestown , Mahoning Valley ( also in West Penn Township , Schuylkill County ) , New Mahoning , Normal Square , and Packerton .","Its villages include Dry Tavern , Normal Square ( also located in West Penn Township , Schuylkill County ) , New Mahoning , Jamestown , Mahoning Valley , and Packerton .",0
7323,"Makopong is a village in Kgalagadi District of South Africa . It is located close to the border with Botswana . The population was 1,697 in the 2011 census .","The population was 1,697 in the 2011 census . It is a village in Kgalagadi District of South Africa located near the border to Botswana .",1
7324,"To get there , take the Marine Drive from the Lions Gate Bridge to the West , past Lighthouse Park , Horseshoe Bay and then further on to the 7100 Marine Drive block .","To get there , take the Marine Drive from the Lions Gate Bridge to the west , past the Horseshoe Bay , Lighthouse Park and continue on to the 7100 Marine Drive block .",0
7325,The Grui River is a tributary of the River Amaradia in Romania .,The Amaradia River is a tributary of the River Grui in Romania .,0
7326,Who inspire you the most?,Who inspired you the most?,1
7327,Is it safe to charge an iPhone 6s from 2 Amp powerbank/charger?,"My iPhone adapter outputs 1.5 Amps, is it safe to use a 2 Amps or 2.5 Amps or 3 Amps adapter to make it charge faster?",1
7328,Anton Egon ranked as an imperial prince about the traditional nobles whose local privileges he tried to curtail .,"As an Imperial prince , Anton Egon ranked above the traditional nobles , whose local privileges he tried to curtail .",0
7329,What should I do to become a CFA level 1?,How can I get CFA level 1 matrial?,1
7330,"Augustus was a master of mystical power , and was physically a match for both the Undertaker and Kane in his Embalmer guise .",Augustus was a master of mystical power and was physically a match for the undertaker and kane in his Embalmer - garment .,1
7331,Tuen Mun is a bay outside Castle Peak Bay .,Tuen Mun is a bay outside Peak Bay Castle .,1
7332,"He graduated from MIT in 1891 , and then received a master 's degree from Harvard University in 1893 .",He graduated from Harvard University in 1891 and received a MASTER degree from MIT in 1893 .,0
7333,"In 1923 , 568 Polish guns were in the inventory of wz.1902 .","In 1923 , there were 568 Polish guns in the wz.1902 inventory .",1
7334,How do I find what email is associated with my Twitter?,How do I find out my Twitter email?,0
7335,"The album was announced on April 30 as a limited edition , untitled album with hand drawn covers and signed by Buckethead himself to be released on May 31 .","The album was announced on April 30th as a limited edition , untitled album with hand drawn covers and signed by Buckethead himself to be released on May 31 .",1
7336,"Byron Morrow played in a cameo performance in the episode `` Death Valley Days '' , '' An organ for brother Brigham `` ( 1966 ) .","Byron Morrow played Young in a cameo appearance in the `` Death Valley Days '' episode , `` An Organ for Brother Brigham '' ( 1966 ) .",0
7337,"Mode 9 was born in Osun State on June 14 , 1975 as the third child of his parents but maintains , ( London ) as his origin .","Mode 9 was born on 14 June 1975 as the third child of his parents in the state of Osun , but claims ( London ) as his origin .",1
7338,"The Hubble Space Telescope's newest picture of Mars shows summer on the Red Planet just as it makes its closest pass by Earth in 60,000 years.","The pictures were taken late Tuesday and early Wednesday as the as the planet made its closest pass by Earth in 60,000 years.
",0
7339,Michael Bishop is a pseudonym for mystery novels by Paul Di Filippo written by Philip Lawson .,Philip Philip Lawson is a pseudonym for Mystery novels by Michael Bishop written with Paul Di Filippo .,0
7340,"Cai Mao had also a son , Cai Feng .","Also Cai Feng had a son , Cai Mao .",0
7341,"The position of the opposition leader was essentially informal in the whole of the twentieth century , with formal recognition only being granted in the nineteenth century .","The position of Leader of the Opposition was essentially informal throughout the early twentieth century , with formal recognition only being granted in the nineteenth century .",1
7342,The isodynamic conjugates of Fermat - points are the isogonal points and vice versa .,The isogonal conjugates of the Fermat points are the isodynamic points and vice versa .,0
7343,"A second son of Berkeley John Talbot Levett and his wife Lady Jane was Theophilus Levett , an officer at the Scots Guards .","A second son of Berkeley John Talbot Levett and his wife Lady Jane was Theophilus Levett , an officer in the Scots Guards .",1
7344,"If `` f '' in Hardy has room `` H '' , then it is a factorization","If `` f '' has in Hardy space `` H '' , then it is a factorization",1
7345,The FBI later learned that two of the hijackers had lived near Awadallah in San Diego.,"The government charged that Awadallah knew both hijackers when they lived in the San Diego area.
",0
7346,"He completed 11 war patrols , made 12 attacks , sunk 2 enemy transports and a lighter .","He made 11 war patrols , completed 12 attacks , sinking 2 enemy transports and a lighter .",0
7347,The book `` Housemeeting '' by Lano and Woodley was published in 1996 by Penguin Books with illustrations by Woodley and a preface by Andrew Denton .,"`` Housemeeting '' , a book by Lano and Woodley , was published by Penguin Books in 1996 , with illustrations by Andrew Denton and a foreword by Woodley .",0
7348,"Pooja plans to escape with Ajay to Hyderabad , but Venky takes them to his area in Europe .","Pooja plans to escape to Europe with Ajay , but Venky brings them to his area in Hyderabad .",0
7349,"Can someone find your number through remind 101? If so, how?",How easy is it for someone else to find your Social Security number? Can I find it online?,0
7350,"Damage was particularly heavy in La Paz , Triunfor , San Antonio , San Bartolo , Miraflores , San José del Cabo , and Cabo San Lucas .","The damage was particularly serious in La Paz , Triunfor , San Antonio , San Bartolo , San Lucas , San José del Cabo and Miraflores .",1
7351,Albion Township was established by a division of Homer Township in 1837 .,Albion Township was founded in 1837 by a division of Homer Township .,1
7352,Omar Suleiman Abu Keshek is a Palestinian footballer of Jordanian origin who plays for Silwan SC in Palestine .,Mo'ayyad Omar Suleiman Abu Keshek is a Jordanian footballer of Palestinian origin who plays for Silwan SC in Palestine .,0
7353,"This episode marks the final appearance of guest actress Denise Cloyd as Merritt Wever , who was introduced at the beginning of the sixth season .","This episode marks the final appearance of guest actress Denise Cloyd as Merritt Wever , who was introduced in the beginning of the sixth season .",1
7354,"A DVD was released on March 5 , 2012 , performed `` Dudley Taft live at Hwy 99 '' , called August 6 , 2011 in Seattle , Washington .","A DVD was released on March 5 , 2012 called `` Dudley Taft live at Highway 99 , '' performed August 6 , 2011 in Seattle , Washington .",0
7355,"What are the best and most affordable places to buy formal wear (i.e., suits, dress shirts, etc.) for young adults?",What colour shirt and tie goes with a 2-piece gray suit?,0
